name,state,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,total_enrollment,ivy_league,tuition_avg
Tuskegee University,Alabama,AL,Private,4 Year,9650,22170,31820,22170,31820,4,Alabama,54500,93500,61,30,3103,0,31820
University of Alabama at Birmingham,Alabama,AL,Public,4 Year,6400,10710,17110,24630,31030,8,Alabama,48600,87200,57,17,18698,0,24070
University of Arizona,Arizona,AZ,Public,4 Year,12550,12487,25037,36386,48936,2,Arizona,56100,101000,51,23,42236,0,36986.5
University of Arkansas at Little Rock,Arkansas,AR,Public,4 Year,8930,8966,17896,21206,30136,7,Arkansas,45600,80800,55,13,11645,0,24016
University of Arkansas at Monticello,Arkansas,AR,Public,4 Year,6824,7696,14520,13546,20370,12,Arkansas,43500,78300,61,2,3854,0,17445
University of Arkansas at Pine Bluff,Arkansas,AR,Public,4 Year,7881,7842,15723,14094,21975,17,Arkansas,40500,70500,67,22,2513,0,18849
University of Arkansas for Medical Sciences,Arkansas,AR,Public,4 Year,NA,8197,8197,15973,15973,3,Arkansas,51700,89100,84,3,2890,0,12085
University of Baltimore,Maryland,MD,Public,4 Year,NA,8958,8958,21076,21076,20,Maryland,51000,89600,56,2,6422,0,15017
University of Bridgeport,Connecticut,CT,Private,4 Year,13860,32850,46710,32850,46710,13,Connecticut,49900,93600,59,31,5191,0,46710
University of Central Arkansas,Arkansas,AR,Public,4 Year,6854,8751,15605,15274,22128,10,Arkansas,44900,79800,52,8,11698,0,18866.5
University of Central Florida,Florida,FL,Public,4 Year,9617,6368,15985,22467,32084,16,Florida,49700,88600,50,16,60767,0,24034.5
University of Central Missouri,Missouri,MO,Public,4 Year,8766,7673,16439,14442,23208,16,Missouri,46900,83300,54,45,13379,0,19823.5
University of Central Oklahoma,Oklahoma,OK,Public,4 Year,7970,7488,15458,18376,26346,10,Oklahoma,45300,82900,56,8,16840,0,20902
University of Charleston,West Virginia,WV,Private,4 Year,9180,30900,40080,30900,40080,8,West-Virginia,44600,81900,51,4,2111,0,40080
University of Chicago,Illinois,IL,Private,4 Year,16350,58230,74580,58230,74580,4,Illinois,64000,114200,41,22,15097,0,74580
University of Connecticut,Connecticut,CT,Public,4 Year,12874,15730,28604,38098,50972,6,Connecticut,59100,105200,48,24,26541,0,39788
University of Dallas,Texas,TX,Private,4 Year,12400,40652,53052,40652,53052,21,Texas,53000,96400,49,16,2548,0,53052
University of Dayton,Ohio,OH,Private,4 Year,13580,42900,56480,42900,56480,4,Ohio,57400,105000,44,33,11343,0,56480
University of Delaware,Delaware,DE,Public,4 Year,12862,13680,26542,34310,47172,1,Delaware,58600,105400,43,22,22680,0,36857
University of Denver,Colorado,CO,Private,4 Year,13005,50556,63561,50556,63561,4,Colorado,55700,105100,48,12,11809,0,63561
University of Detroit Mercy,Michigan,MI,Private,4 Year,9496,28000,37496,28000,37496,10,Michigan,51800,92800,57,13,4945,0,37496
University of Dubuque,Iowa,IA,Private,4 Year,9930,34110,44040,34110,44040,21,Iowa,44200,79700,48,7,2121,0,44040
University of Evansville,Indiana,IN,Private,4 Year,12460,36416,48876,36416,48876,11,Indiana,50300,89900,54,17,2567,0,48876
University of Florida,Florida,FL,Public,4 Year,10120,6381,16501,28658,38778,4,Florida,55800,102800,52,29,49459,0,27639.5
University of Georgia,Georgia,GA,Public,4 Year,10038,11830,21868,30404,40442,3,Georgia,54400,100700,45,14,35197,0,31155
University of Hartford,Connecticut,CT,Private,4 Year,12476,40694,53170,40694,53170,7,Connecticut,55200,101600,53,15,6817,0,53170
University of Hawaii at Hilo,Hawaii,HI,Public,4 Year,11406,7720,19126,20680,32086,5,Hawaii,44000,77200,59,14,3924,0,25606
University of Houston,Texas,TX,Public,4 Year,10270,12506,22776,27956,38226,9,Texas,56000,103900,50,24,40914,0,30501
University of Houston-Clear Lake,Texas,TX,Public,4 Year,NA,8500,8500,24731,24731,23,Texas,50700,94800,48,29,8665,0,16615.5
University of Idaho,Idaho,ID,Public,4 Year,8880,7864,16744,25500,34380,1,Idaho,52300,97700,54,22,11702,0,25562
University of Illinois at Chicago,Illinois,IL,Public,4 Year,12074,13764,25838,26980,39054,7,Illinois,56300,103800,48,31,27969,0,32446
University of Illinois at Urbana-Champaign,Illinois,IL,Public,4 Year,11308,15094,26402,31664,42972,3,Illinois,62600,115300,44,36,45140,0,34687
University of Indianapolis,Indiana,IN,Private,4 Year,10288,29688,39976,29688,39976,21,Indiana,47300,84500,55,5,5442,0,39976
University of Iowa,Iowa,IA,Public,4 Year,11172,9267,20439,31233,42405,3,Iowa,54100,99400,48,16,29970,0,31422
University of Jamestown,North Dakota,ND,Private,4 Year,7570,21976,29546,21976,29546,3,North-Dakota,47600,85400,64,11,970,0,29546
University of Kansas,Kansas,KS,Public,4 Year,10350,11148,21498,27358,37708,1,Kansas,53000,98600,52,16,27180,0,29603
University of Kentucky,Kentucky,KY,Public,4 Year,12982,12245,25227,29099,42081,1,Kentucky,51700,96400,48,19,29203,0,33654
University of Louisiana at Lafayette,Louisiana,LA,Public,4 Year,8516,10616,19132,24344,32860,5,Louisiana,48200,92500,52,19,17195,0,25996
University of Louisiana at Monroe,Louisiana,LA,Public,4 Year,7850,8734,16584,20834,28684,5,Louisiana,48500,92500,65,7,8517,0,22634
University of Louisville,Kentucky,KY,Public,4 Year,9226,11656,20882,27278,36504,5,Kentucky,49500,87600,50,18,21561,0,28693
University of Maine,Maine,ME,Public,4 Year,10418,11170,21588,30970,41388,5,Maine,52000,95000,50,24,11286,0,31488
University of Maine at Augusta,Maine,ME,Public,4 Year,NA,7988,7988,17918,17918,12,Maine,41600,73100,61,7,4664,0,12953
University of Maine at Farmington,Maine,ME,Public,4 Year,9726,9666,19392,19778,29504,13,Maine,41100,71700,64,5,1960,0,24448
University of Maine at Fort Kent,Maine,ME,Public,4 Year,8220,8115,16335,12315,20535,11,Maine,43500,76300,73,5,1327,0,18435
University of Maine at Machias,Maine,ME,Public,4 Year,8486,7840,16326,15100,23586,16,Maine,37100,66200,47,13,810,0,19956
University of Maine at Presque Isle,Maine,ME,Public,4 Year,8406,8035,16441,12235,20641,14,Maine,39000,70700,58,6,1138,0,18541
University of Mary,North Dakota,ND,Private,4 Year,6890,18720,25610,18720,25610,6,North-Dakota,46400,79100,64,3,2809,0,25610
University of Memphis,Tennessee,TN,Public,4 Year,9975,9701,19676,21413,31388,8,Tennessee,47200,85800,55,12,21059,0,25532
University of Miami,Florida,FL,Private,4 Year,14108,50226,64334,50226,64334,6,Florida,56200,99600,48,22,16674,0,64334
University of Mississippi,Mississippi,MS,Public,4 Year,10696,8660,19356,24614,35310,2,Mississippi,48500,89100,55,12,22503,0,27333
University of Mobile,Alabama,AL,Private,4 Year,9600,22820,32420,22820,32420,19,Alabama,40600,74100,77,7,1600,0,32420
University of Montevallo,Alabama,AL,Public,4 Year,9330,12760,22090,25780,35110,22,Alabama,38900,70700,49,7,3070,0,28600
University of Mount Union,Ohio,OH,Private,4 Year,10200,31260,41460,31260,41460,22,Ohio,48300,88500,41,19,2262,0,41460
University of Nebraska Medical Center,Nebraska,NE,Public,4 Year,NA,11558,11558,28898,28898,3,Nebraska,53400,93000,79,6,3696,0,20228
University of New England,Maine,ME,Private,4 Year,13990,37620,51610,37620,51610,6,Maine,50100,91500,69,7,6429,0,51610
University of New Hampshire at Manchester,New Hampshire,NH,Public,4 Year,NA,15265,15265,30635,30635,4,New-Hampshire,51900,90900,50,32,850,0,22950
University of New Haven,Connecticut,CT,Private,4 Year,15900,39270,55170,39270,55170,11,Connecticut,52100,94800,52,25,6811,0,55170
University of New Orleans,Louisiana,LA,Public,4 Year,10575,9054,19629,13890,24465,7,Louisiana,49900,91600,55,23,9234,0,22047
University of North Alabama,Alabama,AL,Public,4 Year,9200,10370,19570,18680,27880,18,Alabama,43000,75600,61,6,6841,0,23725
University of North Carolina at Chapel Hill,North Carolina,NC,Public,4 Year,11190,8987,20177,35170,46360,5,North-Carolina,55000,100800,49,19,29135,0,33268.5
University of North Carolina at Charlotte,North Carolina,NC,Public,4 Year,11100,7044,18144,20478,31578,8,North-Carolina,52500,92600,49,25,27238,0,24861
University of North Carolina School of the Arts,North Carolina,NC,Public,4 Year,9021,9358,18379,25501,34522,16,North-Carolina,46400,82400,44,0,958,0,26450.5
University of North Dakota,North Dakota,ND,Public,4 Year,8974,8695,17669,20759,29733,2,North-Dakota,53800,96000,54,16,14906,0,23701
University of North Florida,Florida,FL,Public,4 Year,9976,6394,16370,20112,30088,19,Florida,48800,86600,51,11,15984,0,23229
University of North Georgia,Georgia,GA,Public,4 Year,7876,7336,15212,21148,29024,9,Georgia,47300,85600,51,8,16064,0,22118
University of Northern Colorado,Colorado,CO,Public,4 Year,11204,9786,20990,21474,32678,12,Colorado,47700,87100,52,7,12050,0,26834
University of Northern Iowa,Iowa,IA,Public,4 Year,8948,8938,17886,19480,28428,15,Iowa,47100,85300,46,8,11928,0,23157
University of Notre Dame,Indiana,IN,Private,4 Year,15410,53391,68801,53391,68801,2,Indiana,67000,130500,45,28,12179,0,68801
University of Oregon,Oregon,OR,Public,4 Year,12963,11898,24861,35478,48441,7,Oregon,51800,95800,46,13,24096,0,36651
University of Pennsylvania,Pennsylvania,PA,Private,4 Year,15616,55584,71200,55584,71200,3,Pennsylvania,72800,133900,41,21,24806,1,71200
University of Pikeville,Kentucky,KY,Private,4 Year,7800,20950,28750,20950,28750,21,Kentucky,39000,70700,74,11,2458,0,28750
University of Portland,Oregon,OR,Private,4 Year,13450,45904,59354,45904,59354,3,Oregon,58500,104900,52,28,4143,0,59354
University of Puget Sound,Washington,WA,Private,4 Year,12540,49776,62316,49776,62316,8,Washington,54200,101300,45,21,2826,0,62316
University of Rhode Island,Rhode Island,RI,Public,4 Year,12950,14138,27088,30862,43812,5,Rhode-Island,54500,99700,50,18,16571,0,35450
University of Richmond,Virginia,VA,Private,4 Year,12250,52610,64860,52610,64860,7,Virginia,59800,107500,48,13,4182,0,64860
University of Rochester,New York,NY,Private,4 Year,15938,53926,69864,53926,69864,16,New-York,61100,112700,50,32,11060,0,69864
University of Saint Joseph,Connecticut,CT,Private,4 Year,11428,39173,50601,39173,50601,14,Connecticut,49900,88800,63,9,2565,0,50601
University of San Diego,California,CA,Private,4 Year,12980,49358,62338,49358,62338,25,California,58900,109400,48,12,8349,0,62338
University of San Francisco,California,CA,Private,4 Year,14830,48066,62896,48066,62896,23,California,60600,109900,52,6,10689,0,62896
University of Science and Arts of Oklahoma,Oklahoma,OK,Public,4 Year,6350,7215,13565,17565,23915,23,Oklahoma,37300,67400,49,11,904,0,18740
University of Scranton,Pennsylvania,PA,Private,4 Year,15182,44532,59714,44532,59714,23,Pennsylvania,56400,99700,42,12,5589,0,59714
University of Sioux Falls,South Dakota,SD,Private,4 Year,7350,18280,25630,18280,25630,6,South-Dakota,44400,78200,64,6,1419,0,25630
University of South Alabama,Alabama,AL,Public,4 Year,7620,9870,17490,19740,27360,9,Alabama,47700,86400,56,17,15805,0,22425
University of South Dakota,South Dakota,SD,Public,4 Year,8216,9061,17277,12425,20641,4,South-Dakota,47500,87900,56,8,10061,0,18959
University of Southern California,California,CA,Private,4 Year,15395,56225,71620,56225,71620,11,California,64500,120600,47,23,42453,0,71620
University of Southern Maine,Maine,ME,Public,4 Year,9450,9520,18970,22780,32230,9,Maine,46900,81300,55,8,8428,0,25600
University of Southern Mississippi,Mississippi,MS,Public,4 Year,9857,8734,18591,10734,20591,4,Mississippi,45100,83900,56,11,14792,0,19591
University of the Cumberlands,Kentucky,KY,Private,4 Year,9000,23000,32000,23000,32000,17,Kentucky,39800,73800,63,8,5736,0,32000
University of the Ozarks,Arkansas,AR,Private,4 Year,7400,24230,31630,24230,31630,14,Arkansas,42300,74500,58,16,587,0,31630
University of Toledo,Ohio,OH,Public,4 Year,11434,9795,21229,19133,30567,18,Ohio,51800,92500,52,21,20626,0,25898
University of Tulsa,Oklahoma,OK,Private,4 Year,11116,41509,52625,41509,52625,1,Oklahoma,58700,107200,51,36,4682,0,52625
University of Utah,Utah,UT,Public,4 Year,10262,9222,19484,29215,39477,2,Utah,54800,102600,57,22,31515,0,29480.5
University of Vermont,Vermont,VT,Public,4 Year,12462,18276,30738,42516,54978,2,Vermont,53200,99400,50,22,12856,0,42858
University of West Alabama,Alabama,AL,Public,4 Year,8116,10040,18156,18490,26606,17,Alabama,42700,76100,61,4,3989,0,22381
University of West Georgia,Georgia,GA,Public,4 Year,10918,7292,18210,20774,31692,15,Georgia,46700,82700,51,9,12206,0,24951
University of Wisconsin-Parkside,Wisconsin,WI,Public,4 Year,8026,7529,15555,15518,23544,24,Wisconsin,46000,81400,47,17,4543,0,19549.5
University of Wisconsin-Stout,Wisconsin,WI,Public,4 Year,6924,9457,16381,17423,24347,11,Wisconsin,50400,89500,47,14,9394,0,20364
University of Wyoming,Wyoming,WY,Public,4 Year,10320,5400,15720,17490,27810,1,Wyoming,52400,98800,58,25,12820,0,21765
Valdosta State University,Georgia,GA,Public,4 Year,8110,7476,15586,20958,29068,19,Georgia,43400,81000,57,7,11563,0,22327
Valley City State University,North Dakota,ND,Public,4 Year,6446,7626,14072,17166,23612,8,North-Dakota,39900,68600,56,3,1378,0,18842
Valparaiso University,Indiana,IN,Private,4 Year,11860,40260,52120,40260,52120,8,Indiana,53300,98000,52,31,4507,0,52120
Vanderbilt University,Tennessee,TN,Private,4 Year,16234,49816,66050,49816,66050,1,Tennessee,65400,119100,48,23,12686,0,66050
Vermont Technical College,Vermont,VT,Public,4 Year,10598,15108,25706,27780,38378,5,Vermont,52400,93900,41,4,1542,0,32042
Villanova University,Pennsylvania,PA,Private,4 Year,14020,53308,67328,53308,67328,7,Pennsylvania,65100,119500,41,23,10735,0,67328
Virginia Commonwealth University,Virginia,VA,Public,4 Year,10428,14490,24918,35138,45566,16,Virginia,49900,88200,52,18,30848,0,35242
Virginia Military Institute,Virginia,VA,Public,4 Year,9428,18862,28290,45706,55134,2,Virginia,65900,120600,68,47,1700,0,41712
Virginia State University,Virginia,VA,Public,4 Year,11208,9056,20264,19576,30784,24,Virginia,44900,81800,61,14,5025,0,25524
Viterbo University,Wisconsin,WI,Private,4 Year,9060,27970,37030,27970,37030,22,Wisconsin,46800,81900,62,3,2804,0,37030
Wabash College,Indiana,IN,Private,4 Year,10050,43450,53500,43450,53500,3,Indiana,62200,114400,40,34,926,0,53500
Wake Forest University,North Carolina,NC,Private,4 Year,16032,53322,69354,53322,69354,2,North-Carolina,60700,114800,44,13,7788,0,69354
Walla Walla University,Washington,WA,Private,4 Year,4275,28035,32310,28035,32310,11,Washington,53700,97800,54,22,1887,0,32310
Walsh College of Accountancy and Business Administration,Michigan,MI,Private,4 Year,NA,17625,17625,17625,17625,20,Michigan,49400,85200,42,5,2753,0,17625
Wartburg College,Iowa,IA,Private,4 Year,9996,41280,51276,41280,51276,12,Iowa,49300,88000,49,34,1661,0,51276
Washburn University,Kansas,KS,Public,4 Year,8237,8870,17107,19940,28177,12,Kansas,47000,83000,54,4,6722,0,22642
Washington State University,Washington,WA,Public,4 Year,11398,11581,22979,26365,37763,5,Washington,55900,103700,50,20,28686,0,30371
Wayne State College,Nebraska,NE,Public,4 Year,7668,6989,14657,12299,19967,18,Nebraska,40600,73400,54,11,3470,0,17312
Wayne State University,Michigan,MI,Public,4 Year,10427,13347,23774,28241,38668,12,Michigan,50800,91700,53,21,27578,0,31221
Webb Institute,New York,NY,Private,4 Year,15050,50175,65225,50175,65225,3,New-York,80800,141800,NA,100,90,0,65225
Weber State University,Utah,UT,Public,4 Year,6279,5831,12110,16585,22864,3,Utah,53900,94000,60,8,25954,0,17487
Webster University,Missouri,MO,Private,4 Year,11050,27900,38950,27900,38950,15,Missouri,46500,83500,50,2,16769,0,38950
Wellesley College,Massachusetts,MA,Private,4 Year,16468,53732,70200,53732,70200,18,Massachusetts,58900,106200,48,34,2323,0,70200
Wentworth Institute of Technology,Massachusetts,MA,Private,4 Year,14190,33950,48140,33950,48140,15,Massachusetts,62700,112700,53,39,4558,0,48140
West Liberty University,West Virginia,WV,Public,4 Year,9406,7730,17136,15670,25076,10,West-Virginia,42500,77000,51,6,2694,0,21106
West Virginia State University,West Virginia,WV,Public,4 Year,11892,8167,20059,16072,27964,12,West-Virginia,41800,76000,46,8,2884,0,24011.5
West Virginia University,West Virginia,WV,Public,4 Year,10918,8856,19774,24950,35868,2,West-Virginia,54400,99900,52,22,29175,0,27821
West Virginia University at Parkersburg,West Virginia,WV,Public,2 Year,NA,6330,6330,10920,10920,18,West-Virginia,36700,65200,67,3,2985,0,8625
West Virginia University Institute of Technology,West Virginia,WV,Public,4 Year,11390,7464,18854,18648,30038,1,West-Virginia,57100,103700,56,40,1261,0,24446
West Virginia Wesleyan College,West Virginia,WV,Private,4 Year,8856,31640,40496,31640,40496,5,West-Virginia,47000,85200,53,21,1511,0,40496
Western Carolina University,North Carolina,NC,Public,4 Year,9682,4220,13902,8220,17902,25,North-Carolina,44700,77700,58,8,10382,0,15902
Western Connecticut State University,Connecticut,CT,Public,4 Year,13072,10819,23891,22059,35131,15,Connecticut,51700,88100,50,6,5952,0,29511
Western Governors University,Utah,UT,Private,4 Year,NA,6670,6670,6670,6670,6,Utah,54500,91500,57,9,57821,0,6670
Western Kentucky University,Kentucky,KY,Public,4 Year,8343,10602,18945,26496,34839,8,Kentucky,45500,83100,49,10,20171,0,26892
Western Michigan University,Michigan,MI,Public,4 Year,10143,12483,22626,15373,25516,11,Michigan,50900,92200,47,16,23914,0,24071
Western New England University,Massachusetts,MA,Private,4 Year,13590,36804,50394,36804,50394,20,Massachusetts,56400,103000,44,21,3922,0,50394
Western New Mexico University,New Mexico,NM,Public,4 Year,9136,6824,15960,15231,24367,5,New-Mexico,41700,76700,75,4,3557,0,20163.5
Western Oregon University,Oregon,OR,Public,4 Year,10415,9540,19955,26415,36830,20,Oregon,44500,79300,50,5,6049,0,28392.5
Western State Colorado University,Colorado,CO,Public,4 Year,9635,10114,19749,21586,31221,14,Colorado,44800,81500,47,19,2584,0,25485
Western Washington University,Washington,WA,Public,4 Year,11466,8132,19598,23544,35010,9,Washington,55000,99300,45,16,15060,0,27304
Wheeling Jesuit University,West Virginia,WV,Private,4 Year,9900,29290,39190,29290,39190,7,West-Virginia,44800,83400,57,5,1575,0,39190
Whitman College,Washington,WA,Private,4 Year,13174,51764,64938,51764,64938,7,Washington,54600,102600,53,33,1498,0,64938
Whitworth University,Washington,WA,Private,4 Year,11496,43640,55136,43640,55136,17,Washington,49900,88800,52,18,2654,0,55136
Wichita State University,Kansas,KS,Public,4 Year,11252,8271,19523,17452,28704,7,Kansas,48700,87300,57,24,14995,0,24113.5
Widener University,Pennsylvania,PA,Private,4 Year,14446,45948,60394,45948,60394,21,Pennsylvania,55700,100100,57,13,4912,0,60394
Willamette University,Oregon,OR,Private,4 Year,12440,50074,62514,50074,62514,6,Oregon,52200,97700,49,14,2780,0,62514
William Carey University,Mississippi,MS,Private,4 Year,6810,12600,19410,12600,19410,9,Mississippi,41100,71800,61,6,3936,0,19410
William Jewell College,Missouri,MO,Private,4 Year,9930,34400,44330,34400,44330,6,Missouri,51400,94500,60,12,1060,0,44330
William Paterson University of New Jersey,New Jersey,NJ,Public,4 Year,11445,13060,24505,21260,32705,21,New-Jersey,50500,90200,44,7,11048,0,28605
William Penn University,Iowa,IA,Private,4 Year,6952,25600,32552,25600,32552,23,Iowa,43900,78300,59,7,1791,0,32552
Williams College,Massachusetts,MA,Private,4 Year,14500,55450,69950,55450,69950,5,Massachusetts,67500,127500,47,32,2126,0,69950
Winona State University,Minnesota,MN,Public,4 Year,9010,9425,18435,15348,24358,16,Minnesota,49700,86800,51,10,8684,0,21396.5
Winthrop University,South Carolina,SC,Public,4 Year,9312,15590,24902,29846,39158,11,South-Carolina,44300,79700,49,9,6024,0,32030
Wisconsin Lutheran College,Wisconsin,WI,Private,4 Year,10190,29725,39915,29725,39915,20,Wisconsin,46200,82500,45,10,1179,0,39915
Wittenberg University,Ohio,OH,Private,4 Year,10356,39500,49856,39500,49856,3,Ohio,52400,105400,61,22,1964,0,49856
Wofford College,South Carolina,SC,Private,4 Year,12685,43845,56530,43845,56530,4,South-Carolina,51300,96600,51,28,1658,0,56530
Worcester Polytechnic Institute,Massachusetts,MA,Private,4 Year,14774,50530,65304,50530,65304,3,Massachusetts,73600,135500,47,86,6381,0,65304
Xavier University of Louisiana,Louisiana,LA,Private,4 Year,9047,24488,33535,24488,33535,11,Louisiana,46700,88200,63,35,2976,0,33535
Yale University,Connecticut,CT,Private,4 Year,16000,53430,69430,53430,69430,1,Connecticut,70300,138300,53,22,12336,1,69430
Yeshiva University,New York,NY,Private,4 Year,12250,43500,55750,43500,55750,15,New-York,63500,112800,40,11,6348,0,55750
